排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
61,688820,盛合晶微,65.38,4.6,18.62,61.22,2.48,25.09,129.26,0.27,257.53,30.85,12.48,22.34,133.822,155.832,0.0,-3.41,0.61,0.52,9.24,30.85,22.34,半导体
62,601816,京沪高铁,55.56,68.68,82.16,63.14,75.68,77.06,4.88,-0.81,17.52,1.43,1.14,2.61,4.923,4.789,1.0,-0.87,0.9,0.83,5.92,1.9,3.47,铁路公路
63,002916,深南电路,26.46,30.33,42.75,46.31,33.82,54.39,341.54,-1.97,55.83,84.66,12.9,90.45,363.647,379.224,0.0,-6.08,0.66,0.49,16.67,85.62,94.79,元件
64,688008,澜起科技,8.53,3.7,27.09,25.95,10.03,41.99,190.01,-1.6,75.45,42.91,10.78,67.78,205.83,230.308,0.0,-7.69,0.61,0.54,47.28,51.57,80.91,半导体
65,000001,平安银行,80.78,100.09,108.95,95.92,100.39,101.59,11.88,-0.25,5.3,37.29,0.49,14.87,11.457,11.028,1.0,3.69,1.08,0.98,13.24,64.88,25.87,银行Ⅱ
66,002142,宁波银行,65.98,102.7,96.19,82.68,105.53,90.29,34.4,0.29,7.3,35.68,0.94,31.31,33.212,31.675,1.0,3.58,1.14,1.0,10.29,62.07,54.46,银行Ⅱ
67,000338,潍柴动力,7.29,44.95,45.19,13.61,66.49,54.49,26.18,1.16,17.42,79.52,2.35,76.44,28.617,27.883,1.0,-8.52,0.62,0.81,19.9,66.86,89.92,汽车零部件
68,002463,沪电股份,32.67,41.23,50.47,52.6,37.11,58.29,116.42,-1.66,44.25,91.83,12.45,97.05,120.268,125.538,0.0,-3.2,0.65,0.61,37.74,90.5,94.88,元件
69,688836,宇树科技-W,3.52,,,0.95,,,550.45,0.81,381.08,16.67,77.31,16.67,,,,,0.59,,17.16,16.67,16.67,自动化设备
70,600919,江苏银行,49.02,90.49,103.48,79.81,97.46,105.14,12.12,-0.98,6.15,82.8,0.82,90.69,11.935,11.509,1.0,1.55,1.32,1.12,12.95,94.46,93.97,银行Ⅱ
71,003816,中国广核,100.97,102.49,51.8,106.83,80.59,39.72,4.4,1.62,22.39,92.84,1.8,84.27,4.029,3.999,1.0,9.21,1.11,1.42,6.88,92.48,88.02,电力
72,300408,三环集团,51.05,28.49,44.05,41.83,22.68,54.03,110.91,2.82,66.84,96.67,9.78,97.29,117.67,125.943,0.0,-5.74,0.92,0.64,47.14,94.21,95.29,元件
73,300476,胜宏科技,-3.5,39.95,4.24,-0.64,42.89,11.94,222.5,-1.19,43.51,78.15,5.77,81.33,256.33,273.01,0.0,-13.2,0.57,0.52,44.61,64.38,68.43,元件
74,600188,兖矿能源,30.23,95.39,60.4,49.7,108.42,62.34,21.75,-0.91,20.42,95.06,2.84,86.03,22.035,20.233,1.0,-1.29,0.69,0.67,8.42,91.4,75.7,煤炭开采
