市场,信号日,代码,名称,排名,持有期,买入价,卖出价,收益%,实际持有交易日,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,量比,策略
个股,2026-07-19,601318,中国平安,16,5,50.7,54.02,6.4,5,81.94,36.68,-8.46,6.91,2.8,0.9,13.04,,,,全样本(基准)
个股,2026-07-19,002594,比亚迪,17,5,93.11,91.53,-1.85,5,86.53,75.09,37.21,30.93,30.32,3.67,31.43,,,,全样本(基准)
个股,2026-07-19,601899,紫金矿业,18,5,27.94,31.09,11.12,5,75.61,45.78,-4.06,12.22,5.02,3.82,69.39,,,,全样本(基准)
个股,2026-07-19,688256,寒武纪,19,5,1190.58,1225.0,2.74,5,-0.54,8.52,71.59,275.32,82.87,58.12,93.81,,,,全样本(基准)
个股,2026-07-19,688041,海光信息,20,5,304.88,314.28,2.93,5,-6.22,45.07,68.85,259.95,94.53,30.16,96.21,,,,全样本(基准)
个股,2026-07-19,600900,XD长江电,21,5,27.99,28.9,3.1,5,88.13,90.74,90.21,18.98,49.78,3.01,70.64,,,,全样本(基准)
个股,2026-07-19,300502,新易盛,22,5,482.88,476.02,-1.57,5,45.07,38.16,78.49,62.69,65.91,33.04,98.21,,,,全样本(基准)
个股,2026-07-19,000333,美的集团,23,5,82.71,84.5,2.01,5,84.79,83.6,86.21,14.26,48.53,2.71,35.3,,,,全样本(基准)
个股,2026-07-19,601658,邮储银行,24,5,5.09,5.12,0.44,5,97.0,92.73,23.41,6.96,66.88,0.59,12.56,,,,全样本(基准)
个股,2026-07-19,600028,中国石化,25,5,5.03,5.19,3.03,5,93.18,92.81,-5.75,17.11,85.76,0.73,33.17,,,,全样本(基准)
个股,2026-07-19,601328,交通银行,26,5,6.83,7.04,2.92,5,93.13,68.28,32.39,6.26,82.23,0.52,46.26,,,,全样本(基准)
个股,2026-07-19,601728,中国电信,27,5,6.01,6.16,2.35,5,103.3,29.19,28.48,17.36,47.6,1.17,44.4,,,,全样本(基准)
个股,2026-07-19,688347,华虹宏力,28,5,309.0,329.9,6.61,5,6.0,69.09,79.21,1088.26,82.89,11.87,97.9,,,,全样本(基准)
